brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Huyndai,Hyundai Starex 2005,96 triệu,Năm SX 2005,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 66.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Tucson 2018,625 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 50.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Tucson 2020,675 triệu,Năm SX 2020,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 10.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand Starex 2.4 MT 2017,575 triệu,Năm SX 2017,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 29.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Accent 2022,445 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 13.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Elantra 2021,519 triệu,Năm SX 2021,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 182.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2018,330 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 110.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai i30 2008,236 triệu,Năm SX 2008,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 66.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2021,380 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 80.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Avante 2014,300 triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 24.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2021,4xx triệu,Năm SX 2021,Xuất xứ Trong nước,Kiểu dáng Hatchback,Km đã đi 86.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2022,369 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 45.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2011,275 triệu,Năm SX 2011,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 74.200 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2018,310 triệu,Năm SX 2018,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 75.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
